LOC report: src/**/*.rs
Generated: 2026-07-23T11:35:26
Root: E:\dev\soloveykoai\soloveyko.ai-video.maker
Scope: only .rs files inside src/
Note: physical line count; blank/comment lines are included.

TOTAL FILES: 103
TOTAL LINES: 49275

   Lines  File
------------------------------------------------------------------------------------------
    2495  src/gui/montage_editor/timeline.rs
    1953  src/gui/stock_picker.rs
    1638  src/gui/pipeline/mod.rs
    1499  src/gui/settings/storage.rs
    1487  src/gui/montage_editor/state.rs
    1293  src/core/pipeline/montage/montage.rs
    1210  src/core/pipeline/video.rs
    1192  src/gui/pipeline/video.rs
    1181  src/core/pipeline/capcut/mod.rs
    1172  src/core/pipeline/subtitles.rs
    1147  src/gui/queue.rs
    1129  src/gui/montage_editor/preview.rs
     898  src/core/pipeline/timeline/sync.rs
     858  src/api/googler.rs
     858  src/core/pipeline/media_regen.rs
     795  src/gui/montage_editor/frame_cache.rs
     787  src/gui/pipeline/subtitles.rs
     756  src/gui/welcome.rs
     755  src/gui/montage_editor/mod.rs
     748  src/app/lifecycle.rs
     724  src/core/pipeline/mod.rs
     714  src/bundle.rs
     690  src/gui/pipeline/resume.rs
     666  src/core/pipeline/retry.rs
     660  src/gui/pipeline/translation.rs
     635  src/gui/agent_chat_window.rs
     602  src/app.rs
     601  src/gui/montage_editor/preview_worker.rs
     564  src/localization/uk.rs
     563  src/api/codex.rs
     562  src/gui/montage_editor/media_pool.rs
     562  src/localization/en.rs
     562  src/localization/ru.rs
     561  src/api/claude.rs
     545  src/gui/editor.rs
     541  src/gui/pipeline/api.rs
     539  src/gui/pipeline/translation_control.rs
     533  src/gui/topbar/balance.rs
     519  src/app/pipeline_host.rs
     503  src/gui/gallery/video_player.rs
     493  src/core/pipeline/agent_timeline.rs
     479  src/api/stock/magnific.rs
     477  src/core/pipeline/voiceover/voiceover.rs
     471  src/api/pi.rs
     455  src/app/gallery_host.rs
     454  src/queue.rs
     449  src/core/pipeline/hyperframes_agent.rs
     447  src/gui/montage_editor/types.rs
     444  src/gui/gallery/tab.rs
     370  src/api/hyperframes.rs
     367  src/gui/pipeline/templates.rs
     340  src/api/gemini.rs
     336  src/api/assemblyai.rs
     333  src/gui/montage_editor/topbar.rs
     315  src/app/montage_host.rs
     307  src/app/settings_sync.rs
     303  src/app/windows.rs
     301  src/gui/pipeline/editing.rs
     298  src/gui/logs.rs
     290  src/gui/pipeline/voiceover.rs
     283  src/gui/topbar/mod.rs
     274  src/gui/gallery/regen.rs
     269  src/core/pipeline/timeline/text_splitter.rs
     258  src/api/stock/mod.rs
     253  src/api/lumean.rs
     249  src/api/agy.rs
     247  src/core/pipeline/montage/trigger.rs
     238  src/api/edgetts.rs
     232  src/gui/montage_editor/utils.rs
     228  src/gui/settings/general.rs
     224  src/gui/montage_editor/inspector.rs
     220  src/api/stock/shared_cache.rs
     195  src/api/stock/pexels.rs
     190  src/core/llm.rs
     189  src/gui/task_history.rs
     186  src/api/process.rs
     186  src/gui/montage_editor/media.rs
     169  src/core/pipeline/final_stages.rs
     166  src/api/stock/pixabay.rs
     164  src/gui/gallery/preview.rs
     156  src/core/pipeline/agent_prompts.rs
     123  src/gui/subtitle_fonts.rs
     116  src/app/queue_host.rs
     114  src/api/updater.rs
     110  src/api/openrouter.rs
     110  src/logger.rs
      97  src/api/ffmpeg.rs
      97  src/gui/gallery/icons.rs
      82  src/gui/pipeline/storage.rs
      69  src/gui/montage_editor/audio.rs
      69  src/gui/update_dialog.rs
      59  src/main.rs
      51  src/gui/pipeline/control.rs
      48  src/theme.rs
      41  src/localization/mod.rs
      27  src/gui/settings/mod.rs
      18  src/gui/gallery/mod.rs
      15  src/api/mod.rs
      14  src/gui/mod.rs
       5  src/core/pipeline/montage/mod.rs
       3  src/core/pipeline/timeline/mod.rs
       3  src/core/pipeline/voiceover/mod.rs
       2  src/core/mod.rs
